date,account,transaction_details,transaction_id,offset_account_id,offset_account_type,transaction_type,reference_number,transaction_number,debit,credit,account_id,currency_code,group_id,branch_name,account_group,amount,currency,batch_id
2024-11-01,3P WRH Expenses,ECOM EXPRESS LIMITED,268960002503283180,,,bill,,272025114100099,662702.44,0.0,268960002492544165,INR,268960002492544165,ANS Digital Pvt Ltd - HR,expense,662702.44,Dr,20250213122928
2024-11-01,3P WRH Expenses,BigFoot Retail Solutions Private Limited,268960002503747135,,,bill,,SRW25HRG30000150,694610.82,0.0,268960002492544165,INR,268960002492544165,ANS Digital Pvt Ltd - HR,expense,694610.82,Dr,20250213122928
2024-11-01,3P WRH Expenses,BigFoot Retail Solutions Private Limited,268960002503747085,,,bill,,SRW25KAGB2000161,318433.87,0.0,268960002492544165,INR,268960002492544165,ANS Digital Pvt Ltd - KA,expense,318433.87,Dr,20250213122928
2024-11-01,3P WRH Expenses,ECOM EXPRESS LIMITED,268960002503626898,,,bill,,272025114100129,687024.0,0.0,268960002492544165,INR,268960002492544165,ANS Digital Pvt Ltd - HR,expense,687024.0,Dr,20250213122928
2024-11-01,3P WRH Expenses,Reverse_Provision of Expenses for the month of October 24,268960002504020029,,,journal,Reverse_Provision of Expenses for the month of October 24,24-25-2772,0.0,16987909.0,268960002492544165,INR,268960002492544165,ANS Digital Pvt Ltd - HR,expense,16987909.0,Cr,20250213122928
2024-11-30,3P WRH Expenses,Provision of Expenses for the month of November 24,268960002504039640,,,journal,Provision of Expenses for the month of November 24,24-252800,19702909.0,0.0,268960002492544165,INR,268960002492544165,ANS Digital Pvt Ltd - HR,expense,19702909.0,Dr,20250213122928
2024-11-01,Accounts Payable,WeWork India Management Private Limited,268960002503113045,,,bill,Mumbai Office,615831776,0.0,199639.0,268960000000007126,INR,268960000000007126,ANS Digital Pvt Ltd - MH,liability,199639.0,Cr,20250213122928
2024-11-01,Accounts Payable,TOP Technologies Private Limited,268960002503113083,,,bill,Office Pass Noida ,TOP5-1124-51607,0.0,460091.0,268960000000007126,INR,268960000000007126,ANS Digital Pvt Ltd - HR,liability,460091.0,Cr,20250213122928
2024-11-01,Accounts Payable,AFFILIATE BAZARS,268960002503115001,,,bill,Victoria Secret ,AFB/INV-00057,0.0,64125.0,268960000000007126,INR,268960000000007126,ANS Digital Pvt Ltd - HR,liability,64125.0,Cr,20250213122928
2024-11-01,Accounts Payable,TOP Technologies Private Limited,268960002503113009,,,bill,Office Pass Gurgaon,TOP5-1124-51594,0.0,1654364.0,268960000000007126,INR,268960000000007126,ANS Digital Pvt Ltd - HR,liability,1654364.0,Cr,20250213122928
